sleepStartTimestampGMT,sleepEndTimestampGMT,calendarDate,sleepWindowConfirmationType,deepSleepSeconds,lightSleepSeconds,awakeSleepSeconds,unmeasurableSeconds,retro,remSleepSeconds,sleepStartTimestamp,sleepEndTimestamp,deepSleepHours,lightSleepHours,awakeHours,totalSleepHours,totalTimeInBedHours,sleepEfficiency,dayOfWeek,dayOfWeekName,month,monthName,year,quarter,season,sleepTimeHour,wakeTimeHour,deepSleepPercent,rolling_30d,deep_roll,light_roll,sleep_roll,wake_roll,eff_roll
2025-08-17T21:22:00.0,2025-08-18T03:28:00.0,2025-08-18,ENHANCED_CONFIRMED_FINAL,6660.0,13500.0,0.0,0.0,False,1800.0,2025-08-17 21:22:00.000,2025-08-18 03:28:00,1.85,3.75,0.0,5.6,6.1,91.80327868852459,0,Monday,8,August,2025,3,Summer,21.366666666666667,3.466666666666667,33.03571428571429,,,,21.553333333333335,5.765000000000001,
2025-08-18T21:17:00.0,2025-08-19T05:26:00.0,2025-08-19,ENHANCED_CONFIRMED_FINAL,6660.0,16800.0,0.0,0.0,False,5880.0,2025-08-18 21:17:00.000,2025-08-19 05:26:00,1.85,4.666666666666667,0.0,6.5166666666666675,8.15,79.959100204499,1,Tuesday,8,August,2025,3,Summer,21.283333333333335,5.433333333333334,28.388746803069054,,,,21.615000000000002,5.751111111111111,
2025-08-19T23:27:00.0,2025-08-20T05:26:00.0,2025-08-20,ENHANCED_CONFIRMED,9240.0,9480.0,720.0,0.0,False,2100.0,2025-08-19 23:27:00.000,2025-08-20 05:26:00,2.566666666666667,2.6333333333333333,0.2,5.2,5.983333333333333,86.90807799442896,2,Wednesday,8,August,2025,3,Summer,23.45,5.433333333333334,49.358974358974365,,,,21.634444444444444,5.754444444444445,
2025-08-20T22:31:00.0,2025-08-21T06:14:00.0,2025-08-21,ENHANCED_CONFIRMED,9060.0,13980.0,240.0,0.0,False,4500.0,2025-08-20 22:31:00.000,2025-08-21 06:14:00,2.5166666666666666,3.8833333333333333,0.06666666666666667,6.4,7.716666666666667,82.93736501079914,3,Thursday,8,August,2025,3,Summer,22.516666666666666,6.233333333333333,39.322916666666664,,,,21.65277777777778,5.766666666666667,
2025-08-21T22:43:00.0,2025-08-22T05:48:00.0,2025-08-22,ENHANCED_CONFIRMED,5100.0,14880.0,0.0,0.0,False,5520.0,2025-08-21 22:43:00.000,2025-08-22 05:48:00,1.4166666666666667,4.133333333333334,0.0,5.550000000000001,7.083333333333333,78.35294117647061,4,Friday,8,August,2025,3,Summer,22.716666666666665,5.8,25.525525525525524,,,,21.675,5.767777777777778,
2025-08-22T23:53:00.0,2025-08-23T05:47:00.0,2025-08-23,ENHANCED_CONFIRMED,7740.0,9960.0,0.0,0.0,False,3540.0,2025-08-22 23:53:00.000,2025-08-23 05:47:00,2.15,2.7666666666666666,0.0,4.916666666666666,5.9,83.33333333333331,5,Saturday,8,August,2025,3,Summer,23.883333333333333,5.783333333333333,43.72881355932204,,,,21.603333333333335,5.767222222222222,
2025-08-24T00:26:00.0,2025-08-24T06:45:00.0,2025-08-24,ENHANCED_CONFIRMED,4740.0,13680.0,300.0,0.0,False,4020.0,2025-08-24 00:26:00.000,2025-08-24 06:45:00,1.3166666666666667,3.8,0.08333333333333333,5.116666666666666,6.316666666666666,81.00263852242745,6,Sunday,8,August,2025,3,Summer,0.43333333333333335,6.75,25.732899022801302,,,,21.598888888888887,5.761666666666667,
2025-08-24T21:07:00.0,2025-08-25T06:18:00.0,2025-08-25,ENHANCED_CONFIRMED,4380.0,20400.0,3360.0,0.0,False,4920.0,2025-08-24 21:07:00.000,2025-08-25 06:18:00,1.2166666666666666,5.666666666666667,0.9333333333333333,6.883333333333334,9.183333333333334,74.9546279491833,0,Monday,8,August,2025,3,Summer,21.116666666666667,6.3,17.67554479418886,,,,21.570555555555554,5.735,
2025-08-25T21:27:00.0,2025-08-26T05:37:00.0,2025-08-26,ENHANCED_CONFIRMED,5520.0,15960.0,120.0,0.0,False,7800.0,2025-08-25 21:27:00.000,2025-08-26 05:37:00,1.5333333333333334,4.433333333333334,0.03333333333333333,5.966666666666667,8.166666666666666,73.06122448979593,1,Tuesday,8,August,2025,3,Summer,21.45,5.616666666666667,25.69832402234637,,,,21.537222222222223,5.684444444444444,
2025-08-26T23:31:00.0,2025-08-27T05:48:00.0,2025-08-27,ENHANCED_CONFIRMED,6660.0,11460.0,0.0,0.0,False,4500.0,2025-08-26 23:31:00.000,2025-08-27 05:48:00,1.85,3.183333333333333,0.0,5.033333333333333,6.283333333333333,80.10610079575596,2,Wednesday,8,August,2025,3,Summer,23.516666666666666,5.8,36.754966887417226,,,,21.506111111111114,5.6933333333333325,
